% 98.1720430108 % of clone sets has asserts no more than 40 and methods no more than 50
x      y      z     
57     7      0     
50     3      0     
44     2      0     
34     2      0     
33     2      0     
32     2      0     
30     4      0     
27     2      0     
27     2      0     
27     3      0     
26     2      0     
24     8      0     
23     8      0     
22     2      0     
22     8      0     
21     3      0     
18     2      0     
17     2      0     
17     3      0     
17     3      0     
16     2      0     
16     2      0     
16     2      0     
16     8      0     
16     8      0     
15     2      0     
15     2      0     
15     2      0     
15     2      0     
15     2      0     
15     2      0     
15     4      0     
15     9      0     
14     2      0     
14     10     0     
14     23     0     
13     3      0     
13     4      0     
13     4      0     
13     4      0     
12     2      0     
12     2      0     
12     2      0     
12     2      0     
12     2      0     
12     5      0     
12     5      0     
12     11     0     
11     2      0     
11     3      0     
11     3      0     
11     4      0     
11     4      0     
10     2      0     
10     2      0     
10     2      0     
10     2      0     
10     3      0     
10     3      0     
10     4      0     
10     4      0     
10     5      0     
10     7      0     
10     8      0     
10     25     0     
9      2      0     
9      2      0     
9      2      0     
9      3      0     
9      3      0     
9      3      0     
9      3      0     
9      4      0     
9      4      0     
9      4      0     
9      5      0     
9      124    0     
8      2      0     
8      2      0     
8      2      0     
8      2      0     
8      2      0     
8      2      0     
8      2      0     
8      4      0     
8      4      0     
8      4      0     
8      5      0     
8      6      0     
8      7      0     
8      7      0     
8      9      0     
8      10     0     
8      26     0     
8      32     0     
8      40     0     
8      62     0     
7      2      0     
7      2      0     
7      3      0     
7      4      0     
7      4      0     
7      14     0     
7      16     0     
7      22     0     
6      2      0     
6      2      0     
6      2      0     
6      2      0     
6      3      0     
6      3      0     
6      3      0     
6      3      0     
6      4      0     
6      4      0     
6      6      0     
6      6      0     
6      8      0     
6      8      0     
6      10     0     
6      14     0     
6      15     0     
6      18     0     
6      23     0     
5      2      0     
5      2      0     
5      2      0     
5      2      0     
5      2      0     
5      2      0     
5      2      0     
5      2      0     
5      3      0     
5      3      0     
5      3      0     
5      3      0     
5      3      0     
5      5      0     
5      6      0     
5      7      0     
5      8      0     
5      8      0     
5      14     0     
5      18     0     
5      19     0     
5      25     0     
5      66     0     
4      2      0     
4      2      0     
4      2      0     
4      2      0     
4      2      0     
4      2      0     
4      3      0     
4      3      0     
4      3      0     
4      3      0     
4      3      0     
4      4      0     
4      4      0     
4      4      0     
4      5      0     
4      5      0     
4      5      0     
4      5      0     
4      6      0     
4      6      0     
4      6      0     
4      7      0     
4      8      0     
4      8      0     
4      9      0     
4      9      0     
4      10     0     
4      12     0     
4      20     0     
4      50     0     
3      2      0     
3      2      0     
3      2      0     
3      2      0     
3      2      0     
3      3      0     
3      3      0     
3      4      0     
3      4      0     
3      5      0     
3      5      0     
3      5      0     
3      8      0     
3      10     0     
3      27     0     
3      38     0     
2      2      0     
2      2      0     
2      2      0     
2      2      0     
2      2      0     
2      2      0     
2      2      0     
2      2      0     
2      3      0     
2      3      0     
2      3      0     
2      4      0     
2      4      0     
2      5      0     
2      6      0     
2      7      0     
2      7      0     
2      9      0     
2      10     0     
2      10     0     
2      10     0     
2      12     0     
2      16     0     
2      16     0     
2      19     0     
2      20     0     
2      30     0     
2      51     0     
2      86     0     
2      106    0     
1      3      0     
1      4      0     
1      5      0     
1      6      0     
1      9      0     
1      14     0     
1      201    0     
29     2      1     
26     2      1     
25     2      1     
23     2      1     
20     2      1     
17     2      1     
16     3      1     
16     4      1     
15     2      1     
15     3      1     
14     2      1     
13     2      1     
13     2      1     
12     3      1     
12     4      1     
11     4      1     
10     2      1     
10     2      1     
10     2      1     
10     2      1     
10     2      1     
10     2      1     
10     5      1     
9      2      1     
9      2      1     
9      2      1     
9      2      1     
9      2      1     
9      4      1     
9      5      1     
8      2      1     
8      2      1     
8      2      1     
8      2      1     
8      2      1     
8      4      1     
8      8      1     
8      12     1     
7      2      1     
7      2      1     
7      2      1     
7      2      1     
7      2      1     
7      2      1     
7      3      1     
7      4      1     
7      4      1     
6      2      1     
6      2      1     
6      2      1     
6      2      1     
6      2      1     
6      3      1     
6      12     1     
6      18     1     
5      2      1     
5      2      1     
5      2      1     
5      2      1     
5      2      1     
5      2      1     
5      2      1     
5      2      1     
5      10     1     
5      13     1     
4      2      1     
4      2      1     
4      2      1     
4      2      1     
4      2      1     
4      2      1     
4      2      1     
4      2      1     
4      2      1     
4      2      1     
4      3      1     
4      4      1     
3      2      1     
3      2      1     
3      2      1     
3      2      1     
3      2      1     
3      2      1     
3      2      1     
3      2      1     
3      2      1     
3      2      1     
3      2      1     
3      2      1     
3      2      1     
3      2      1     
3      2      1     
3      2      1     
3      2      1     
3      3      1     
3      3      1     
3      3      1     
3      3      1     
3      4      1     
3      11     1     
3      15     1     
2      2      1     
2      2      1     
2      2      1     
2      2      1     
2      2      1     
2      2      1     
2      2      1     
2      2      1     
2      2      1     
2      2      1     
2      2      1     
2      2      1     
2      2      1     
2      2      1     
2      2      1     
2      2      1     
2      3      1     
2      3      1     
2      3      1     
2      3      1     
2      3      1     
2      3      1     
2      3      1     
2      3      1     
2      3      1     
2      3      1     
2      3      1     
2      4      1     
2      4      1     
2      4      1     
2      4      1     
2      4      1     
2      6      1     
2      6      1     
2      6      1     
2      6      1     
2      7      1     
2      8      1     
2      9      1     
2      15     1     
2      15     1     
2      19     1     
2      33     1     
2      44     1     
1      2      1     
1      2      1     
1      2      1     
1      2      1     
1      2      1     
1      2      1     
1      2      1     
1      2      1     
1      2      1     
1      2      1     
1      3      1     
1      3      1     
1      3      1     
1      3      1     
1      3      1     
1      3      1     
1      4      1     
1      4      1     
1      4      1     
1      5      1     
1      6      1     
1      7      1     
1      7      1     
1      12     1     
74     2      2     
44     2      2     
39     2      2     
29     2      2     
27     2      2     
26     2      2     
25     2      2     
24     2      2     
23     2      2     
23     2      2     
22     2      2     
22     2      2     
22     2      2     
21     2      2     
18     2      2     
17     2      2     
17     2      2     
16     2      2     
16     3      2     
15     2      2     
14     4      2     
13     2      2     
13     2      2     
12     2      2     
12     2      2     
12     2      2     
11     2      2     
11     2      2     
11     2      2     
10     2      2     
10     2      2     
10     3      2     
10     3      2     
9      2      2     
9      2      2     
9      2      2     
9      2      2     
9      4      2     
9      6      2     
8      2      2     
8      2      2     
8      2      2     
8      2      2     
8      2      2     
8      3      2     
8      3      2     
8      4      2     
8      4      2     
8      4      2     
7      2      2     
7      2      2     
7      2      2     
7      2      2     
7      2      2     
7      3      2     
7      3      2     
7      4      2     
7      6      2     
6      2      2     
6      2      2     
6      2      2     
6      2      2     
6      2      2     
6      2      2     
6      3      2     
6      3      2     
6      3      2     
6      4      2     
6      4      2     
6      4      2     
6      6      2     
5      2      2     
5      2      2     
5      2      2     
5      2      2     
5      3      2     
5      3      2     
5      3      2     
5      4      2     
5      5      2     
5      5      2     
4      2      2     
4      2      2     
4      2      2     
4      2      2     
4      2      2     
4      2      2     
4      2      2     
4      2      2     
4      3      2     
4      5      2     
3      2      2     
3      2      2     
3      2      2     
3      2      2     
3      2      2     
3      2      2     
3      2      2     
3      2      2     
3      3      2     
3      3      2     
3      3      2     
3      3      2     
3      4      2     
3      4      2     
3      4      2     
3      4      2     
3      4      2     
3      5      2     
3      11     2     
2      2      2     
2      2      2     
2      2      2     
